model,hf,kind,task,condition,n,n_valid,parse_fail,counts,tv,p_mode,seed
llama31-base,meta-llama/Llama-3.1-8B,base,fair_coin,V8,10,160,2,"{""H"": 85, ""T"": 75}",0.03125,0.53125,47
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_binary,V0,200,198,2,"{""alpha"": 103, ""beta"": 95}",0.1797979797979797,0.5202020202020202,47
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_binary,V8,10,180,1,"{""alpha"": 126, ""beta"": 54}",0.0,0.7,47
llama31-base,meta-llama/Llama-3.1-8B,base,bimodal_5way,V0,200,198,2,"{""2"": 45, ""5"": 28, ""3"": 35, ""1"": 60, ""4"": 30}",0.3555555555555555,0.303030303030303,47
llama31-base,meta-llama/Llama-3.1-8B,base,bimodal_5way,V8,10,200,0,"{""1"": 99, ""2"": 34, ""5"": 47, ""3"": 6, ""4"": 14}",0.195,0.495,47
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_5way,V0,200,199,1,"{""2"": 46, ""3"": 55, ""1"": 44, ""4"": 36, ""5"": 18}",0.2884422110552764,0.2763819095477386,47
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_5way,V8,10,160,2,"{""1"": 66, ""2"": 36, ""3"": 23, ""4"": 19, ""5"": 16}",0.0875,0.4125,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,point_5,V8,10,20,9,"{""5"": 20}",0.0,1.0,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,uniform_digit,V0,200,200,0,"{""3"": 90, ""4"": 80, ""2"": 29, ""5"": 1}",0.45,0.45,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,uniform_digit,V8,10,60,7,"{""1"": 12, ""2"": 13, ""3"": 11, ""4"": 12, ""5"": 12}",0.0166666666666666,0.2166666666666666,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,fair_coin,V0,200,200,0,"{""T"": 182, ""H"": 18}",0.41,0.91,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,fair_coin,V8,10,97,5,"{""H"": 53, ""T"": 44}",0.0463917525773195,0.5463917525773195,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 144, ""beta"": 56}",0.0199999999999999,0.72,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_binary,V8,10,115,4,"{""alpha"": 74, ""beta"": 41}",0.0565217391304347,0.6434782608695652,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,bimodal_5way,V0,200,196,4,"{""2"": 61, ""4"": 33, ""5"": 32, ""1"": 56, ""3"": 14}",0.3510204081632653,0.3112244897959184,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,bimodal_5way,V8,10,107,4,"{""1"": 54, ""2"": 10, ""5"": 34, ""4"": 9}",0.1046728971962616,0.5046728971962616,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_5way,V0,200,200,0,"{""3"": 63, ""4"": 18, ""2"": 82, ""5"": 25, ""1"": 12}",0.4499999999999999,0.41,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_5way,V8,10,80,6,"{""1"": 35, ""2"": 20, ""5"": 8, ""3"": 8, ""4"": 9}",0.0624999999999999,0.4375,13
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,point_5,V8,10,0,10,{},,,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,uniform_digit,V0,200,200,0,"{""4"": 78, ""3"": 94, ""2"": 28}",0.4599999999999999,0.47,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,uniform_digit,V8,10,59,7,"{""1"": 13, ""3"": 13, ""4"": 13, ""2"": 12, ""5"": 8}",0.0644067796610169,0.2203389830508474,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,fair_coin,V0,200,199,1,"{""T"": 187, ""H"": 12}",0.4396984924623115,0.9396984924623116,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,fair_coin,V8,10,140,3,"{""H"": 71, ""T"": 69}",0.0071428571428571,0.5071428571428571,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 144, ""beta"": 56}",0.0199999999999999,0.72,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_binary,V8,10,36,8,"{""alpha"": 26, ""beta"": 10}",0.0222222222222222,0.7222222222222222,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,bimodal_5way,V0,200,198,2,"{""4"": 37, ""3"": 15, ""1"": 65, ""5"": 28, ""2"": 53}",0.3303030303030303,0.3282828282828283,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,bimodal_5way,V8,10,80,6,"{""1"": 39, ""5"": 28, ""2"": 7, ""4"": 6}",0.0875,0.4875,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_5way,V0,200,200,0,"{""4"": 26, ""3"": 62, ""1"": 19, ""2"": 72, ""5"": 21}",0.4049999999999999,0.36,47
llama31-instruct,meta-llama/Llama-3.1-8B-Instruct,instruct,skewed_5way,V8,10,40,8,"{""1"": 17, ""2"": 11, ""3"": 4, ""4"": 4, ""5"": 4}",0.075,0.425,47
olmo2-base,allenai/OLMo-2-1124-7B,base,point_5,V0,200,196,4,"{""5"": 196}",0.0,1.0,13
olmo2-base,allenai/OLMo-2-1124-7B,base,point_5,V8,10,104,3,"{""1"": 28, ""5"": 32, ""2"": 19, ""3"": 15, ""4"": 10}",0.6923076923076923,0.3076923076923077,13
olmo2-base,allenai/OLMo-2-1124-7B,base,uniform_digit,V0,200,195,5,"{""3"": 44, ""2"": 35, ""4"": 43, ""5"": 49, ""1"": 24}",0.0974358974358974,0.2512820512820513,13
olmo2-base,allenai/OLMo-2-1124-7B,base,uniform_digit,V8,10,178,0,"{""5"": 31, ""2"": 34, ""3"": 23, ""1"": 64, ""4"": 26}",0.1595505617977528,0.3595505617977528,13
olmo2-base,allenai/OLMo-2-1124-7B,base,fair_coin,V0,200,200,0,"{""H"": 71, ""T"": 129}",0.145,0.645,13
olmo2-base,allenai/OLMo-2-1124-7B,base,fair_coin,V8,10,120,1,"{""H"": 76, ""T"": 44}",0.1333333333333333,0.6333333333333333,13
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_binary,V0,200,197,3,"{""alpha"": 115, ""beta"": 82}",0.116243654822335,0.583756345177665,13
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_binary,V8,10,148,1,"{""alpha"": 102, ""beta"": 46}",0.0108108108108108,0.6891891891891891,13
olmo2-base,allenai/OLMo-2-1124-7B,base,bimodal_5way,V0,200,196,4,"{""3"": 47, ""2"": 50, ""4"": 42, ""5"": 19, ""1"": 38}",0.5091836734693878,0.2551020408163265,13
olmo2-base,allenai/OLMo-2-1124-7B,base,bimodal_5way,V8,10,164,1,"{""5"": 40, ""2"": 32, ""1"": 64, ""4"": 19, ""3"": 9}",0.1658536585365853,0.3902439024390244,13
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_5way,V0,200,196,4,"{""3"": 51, ""2"": 44, ""4"": 40, ""5"": 24, ""1"": 37}",0.3112244897959184,0.2602040816326531,13
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_5way,V8,10,164,1,"{""5"": 27, ""2"": 31, ""3"": 16, ""1"": 63, ""4"": 27}",0.1292682926829268,0.3841463414634146,13
olmo2-base,allenai/OLMo-2-1124-7B,base,point_5,V0,200,196,4,"{""5"": 196}",0.0,1.0,47
olmo2-base,allenai/OLMo-2-1124-7B,base,point_5,V8,10,93,4,"{""2"": 15, ""1"": 22, ""4"": 9, ""3"": 12, ""5"": 35}",0.6236559139784946,0.3763440860215054,47
olmo2-base,allenai/OLMo-2-1124-7B,base,uniform_digit,V0,200,199,1,"{""2"": 34, ""3"": 44, ""5"": 48, ""4"": 47, ""1"": 26}",0.0984924623115577,0.2412060301507537,47
olmo2-base,allenai/OLMo-2-1124-7B,base,uniform_digit,V8,10,181,0,"{""2"": 24, ""5"": 36, ""3"": 23, ""1"": 55, ""4"": 43}",0.1414364640883978,0.3038674033149171,47
olmo2-base,allenai/OLMo-2-1124-7B,base,fair_coin,V0,200,200,0,"{""T"": 134, ""H"": 66}",0.17,0.67,47
olmo2-base,allenai/OLMo-2-1124-7B,base,fair_coin,V8,10,102,1,"{""H"": 46, ""T"": 56}",0.0490196078431372,0.5490196078431373,47
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_binary,V0,200,197,3,"{""alpha"": 108, ""beta"": 89}",0.1517766497461929,0.5482233502538071,47
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_binary,V8,10,150,2,"{""alpha"": 90, ""beta"": 60}",0.1,0.6,47
olmo2-base,allenai/OLMo-2-1124-7B,base,bimodal_5way,V0,200,196,4,"{""2"": 47, ""3"": 51, ""4"": 38, ""5"": 18, ""1"": 42}",0.4938775510204082,0.2602040816326531,47
olmo2-base,allenai/OLMo-2-1124-7B,base,bimodal_5way,V8,10,175,0,"{""2"": 25, ""5"": 39, ""3"": 16, ""1"": 63, ""4"": 32}",0.2171428571428571,0.36,47
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_5way,V0,200,198,2,"{""2"": 42, ""3"": 53, ""4"": 38, ""5"": 27, ""1"": 38}",0.308080808080808,0.2676767676767677,47
olmo2-base,allenai/OLMo-2-1124-7B,base,skewed_5way,V8,10,176,0,"{""2"": 29, ""5"": 31, ""3"": 22, ""1"": 58, ""4"": 36}",0.2056818181818182,0.3295454545454545,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,point_5,V8,10,43,7,"{""5"": 43}",0.0,1.0,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,uniform_digit,V0,200,200,0,"{""3"": 109, ""2"": 4, ""4"": 65, ""5"": 16, ""1"": 6}",0.47,0.545,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,uniform_digit,V8,10,131,4,"{""1"": 30, ""2"": 29, ""3"": 27, ""4"": 27, ""5"": 18}",0.0625954198473282,0.2290076335877862,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,fair_coin,V0,200,96,104,"{""T"": 49, ""H"": 47}",0.0104166666666666,0.5104166666666666,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,fair_coin,V8,10,105,3,"{""H"": 56, ""T"": 49}",0.0333333333333333,0.5333333333333333,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_binary,V0,200,200,0,"{""beta"": 105, ""alpha"": 95}",0.225,0.525,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_binary,V8,10,176,0,"{""alpha"": 138, ""beta"": 38}",0.084090909090909,0.7840909090909091,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,bimodal_5way,V0,200,200,0,"{""3"": 41, ""2"": 15, ""4"": 113, ""5"": 24, ""1"": 7}",0.67,0.565,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,bimodal_5way,V8,10,103,5,"{""1"": 43, ""2"": 10, ""4"": 9, ""5"": 40, ""3"": 1}",0.0271844660194174,0.4174757281553398,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_5way,V0,200,198,2,"{""3"": 126, ""2"": 7, ""4"": 48, ""5"": 8, ""1"": 9}",0.6787878787878787,0.6363636363636364,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_5way,V8,10,167,2,"{""1"": 85, ""2"": 30, ""3"": 14, ""4"": 21, ""5"": 17}",0.0365269461077844,0.5089820359281437,13
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,point_5,V8,10,0,10,{},,,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,uniform_digit,V0,200,199,1,"{""4"": 64, ""3"": 116, ""2"": 3, ""1"": 5, ""5"": 11}",0.5045226130653266,0.5829145728643216,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,uniform_digit,V8,10,155,3,"{""1"": 37, ""2"": 35, ""3"": 31, ""4"": 32, ""5"": 20}",0.0709677419354838,0.2387096774193548,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,fair_coin,V0,200,109,91,"{""T"": 55, ""H"": 54}",0.0045871559633027,0.5045871559633027,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,fair_coin,V8,10,144,0,"{""H"": 85, ""T"": 59}",0.0902777777777777,0.5902777777777778,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_binary,V0,200,200,0,"{""alpha"": 97, ""beta"": 103}",0.215,0.515,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_binary,V8,10,167,1,"{""alpha"": 159, ""beta"": 8}",0.2520958083832335,0.9520958083832336,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,bimodal_5way,V0,200,200,0,"{""4"": 104, ""3"": 54, ""2"": 21, ""1"": 4, ""5"": 17}",0.6950000000000001,0.52,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,bimodal_5way,V8,10,148,3,"{""1"": 80, ""5"": 49, ""2"": 10, ""4"": 9}",0.1405405405405405,0.5405405405405406,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_5way,V0,200,200,0,"{""4"": 41, ""3"": 135, ""2"": 9, ""1"": 7, ""5"": 8}",0.68,0.675,47
olmo2-dpo,allenai/OLMo-2-1124-7B-DPO (local safetensors conversion),instruct,skewed_5way,V8,10,187,1,"{""1"": 106, ""2"": 27, ""3"": 16, ""4"": 21, ""5"": 17}",0.079144385026738,0.5668449197860963,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,point_5,V8,10,20,9,"{""5"": 20}",0.0,1.0,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,uniform_digit,V0,200,200,0,"{""3"": 98, ""4"": 75, ""5"": 21, ""2"": 4, ""1"": 2}",0.4649999999999999,0.49,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,uniform_digit,V8,10,143,3,"{""1"": 31, ""2"": 30, ""3"": 30, ""4"": 29, ""5"": 23}",0.0391608391608391,0.2167832167832167,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,fair_coin,V0,200,164,36,"{""T"": 43, ""H"": 121}",0.2378048780487804,0.7378048780487805,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,fair_coin,V8,10,128,2,"{""H"": 77, ""T"": 51}",0.1015625,0.6015625,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_binary,V0,200,200,0,"{""beta"": 94, ""alpha"": 106}",0.1699999999999999,0.53,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_binary,V8,10,185,0,"{""alpha"": 156, ""beta"": 29}",0.1432432432432432,0.8432432432432433,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,bimodal_5way,V0,200,200,0,"{""3"": 35, ""2"": 8, ""4"": 119, ""5"": 36, ""1"": 2}",0.67,0.595,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,bimodal_5way,V8,10,165,2,"{""1"": 89, ""2"": 13, ""4"": 13, ""5"": 50}",0.1393939393939394,0.5393939393939394,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_5way,V0,200,200,0,"{""3"": 133, ""2"": 10, ""4"": 40, ""5"": 13, ""1"": 4}",0.665,0.665,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_5way,V8,10,203,0,"{""1"": 110, ""2"": 27, ""3"": 14, ""4"": 23, ""5"": 29}",0.0980295566502463,0.541871921182266,13
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,point_5,V8,10,59,7,"{""5"": 59}",0.0,1.0,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,uniform_digit,V0,200,200,0,"{""4"": 67, ""3"": 107, ""5"": 20, ""1"": 3, ""2"": 3}",0.47,0.535,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,uniform_digit,V8,10,186,1,"{""1"": 41, ""2"": 41, ""3"": 39, ""4"": 39, ""5"": 26}",0.0602150537634408,0.2204301075268817,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,fair_coin,V0,200,174,26,"{""H"": 120, ""T"": 54}",0.1896551724137931,0.6896551724137931,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,fair_coin,V8,10,142,1,"{""H"": 98, ""T"": 44}",0.1901408450704225,0.6901408450704225,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 97, ""beta"": 103}",0.215,0.515,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_binary,V8,10,193,0,"{""alpha"": 179, ""beta"": 14}",0.227461139896373,0.927461139896373,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,bimodal_5way,V0,200,200,0,"{""4"": 112, ""3"": 36, ""5"": 43, ""2"": 7, ""1"": 2}",0.6400000000000001,0.56,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,bimodal_5way,V8,10,188,1,"{""1"": 111, ""5"": 49, ""2"": 15, ""4"": 13}",0.1904255319148936,0.5904255319148937,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_5way,V0,200,200,0,"{""4"": 36, ""3"": 142, ""2"": 7, ""1"": 5, ""5"": 10}",0.6900000000000001,0.71,47
olmo2-instruct,allenai/OLMo-2-1124-7B-Instruct,instruct,skewed_5way,V8,10,199,0,"{""1"": 113, ""2"": 33, ""3"": 15, ""4"": 20, ""5"": 18}",0.0683417085427135,0.5678391959798995,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,point_5,V0,200,196,4,"{""5"": 196}",0.0,1.0,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,point_5,V8,10,75,6,"{""5"": 44, ""1"": 19, ""2"": 4, ""3"": 4, ""4"": 4}",0.4133333333333333,0.5866666666666667,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,uniform_digit,V0,200,192,8,"{""3"": 85, ""2"": 12, ""1"": 23, ""4"": 58, ""5"": 14}",0.3447916666666666,0.4427083333333333,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,uniform_digit,V8,10,183,3,"{""1"": 44, ""2"": 42, ""3"": 33, ""4"": 35, ""5"": 29}",0.0699453551912568,0.2404371584699453,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,fair_coin,V0,200,140,60,"{""H"": 109, ""T"": 31}",0.2785714285714286,0.7785714285714286,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,fair_coin,V8,10,141,1,"{""H"": 89, ""T"": 52}",0.1312056737588652,0.6312056737588653,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_binary,V0,200,199,1,"{""alpha"": 143, ""beta"": 56}",0.0185929648241206,0.7185929648241206,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_binary,V8,10,143,2,"{""alpha"": 116, ""beta"": 27}",0.1111888111888111,0.8111888111888111,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,bimodal_5way,V0,200,194,6,"{""3"": 39, ""2"": 25, ""1"": 50, ""4"": 65, ""5"": 15}",0.4649484536082474,0.3350515463917525,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,bimodal_5way,V8,10,141,3,"{""1"": 52, ""2"": 16, ""4"": 11, ""5"": 59, ""3"": 3}",0.0531914893617021,0.4184397163120567,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_5way,V0,200,195,5,"{""3"": 93, ""2"": 17, ""1"": 34, ""4"": 43, ""5"": 8}",0.4974358974358974,0.4769230769230769,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_5way,V8,10,157,2,"{""1"": 74, ""2"": 29, ""3"": 17, ""5"": 18, ""4"": 19}",0.0439490445859872,0.4713375796178344,13
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,point_5,V0,200,199,1,"{""5"": 199}",0.0,1.0,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,point_5,V8,10,39,7,"{""5"": 39}",0.0,1.0,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,uniform_digit,V0,200,195,5,"{""4"": 59, ""3"": 92, ""1"": 21, ""2"": 10, ""5"": 13}",0.3743589743589743,0.4717948717948718,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,uniform_digit,V8,10,211,2,"{""1"": 72, ""2"": 42, ""4"": 41, ""5"": 26, ""3"": 30}",0.1412322274881516,0.3412322274881517,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,fair_coin,V0,200,141,59,"{""T"": 31, ""H"": 110}",0.2801418439716312,0.7801418439716312,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,fair_coin,V8,10,155,0,"{""H"": 117, ""T"": 38}",0.2548387096774194,0.7548387096774194,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_binary,V0,200,197,3,"{""alpha"": 129, ""beta"": 68}",0.0451776649746192,0.6548223350253807,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_binary,V8,10,206,0,"{""alpha"": 176, ""beta"": 30}",0.1543689320388349,0.8543689320388349,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,bimodal_5way,V0,200,196,4,"{""4"": 54, ""3"": 50, ""1"": 56, ""2"": 24, ""5"": 12}",0.4530612244897959,0.2857142857142857,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,bimodal_5way,V8,10,230,2,"{""1"": 132, ""5"": 69, ""2"": 14, ""4"": 13, ""3"": 2}",0.1826086956521739,0.5739130434782609,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_5way,V0,200,196,4,"{""4"": 41, ""3"": 93, ""1"": 40, ""2"": 14, ""5"": 8}",0.4836734693877551,0.4744897959183674,47
olmo2-sft,allenai/OLMo-2-1124-7B-SFT (local safetensors conversion),instruct,skewed_5way,V8,10,214,0,"{""1"": 116, ""2"": 38, ""3"": 19, ""4"": 20, ""5"": 21}",0.0420560747663551,0.5420560747663551,47
qwen25-base,Qwen/Qwen2.5-7B,base,point_5,V0,200,184,16,"{""5"": 181, ""1"": 3}",0.0163043478260869,0.9836956521739132,13
